conviction,agents_agreeing,direction,vix_level,vix_regime,veto_rule_based,signal_was_correct,false_rejection,false_acceptance,conv_bucket
0.381,5,LONG,22.680,NORMAL,True,False,False,False,Media (0.3-0.55)
0.849,2,LONG,26.357,ELEVATED,False,True,False,False,Alta (0.7-1.0)
0.824,6,LONG,20.990,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.449,3,LONG,11.811,LOW,True,False,False,False,Media (0.3-0.55)
0.359,4,SHORT,12.179,LOW,True,False,False,False,Media (0.3-0.55)
0.714,5,LONG,20.193,NORMAL,False,False,False,True,Alta (0.7-1.0)
0.226,4,LONG,13.823,LOW,True,True,True,False,Bassa (0-0.3)
0.280,2,LONG,14.439,LOW,True,False,False,False,Bassa (0-0.3)
0.107,2,LONG,17.009,LOW,True,False,False,False,Bassa (0-0.3)
0.808,3,LONG,19.320,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.698,6,LONG,18.852,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.735,5,LONG,21.294,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.803,3,SHORT,17.741,LOW,False,True,False,False,Alta (0.7-1.0)
0.513,5,NEUTRAL,11.555,LOW,True,False,False,False,Media (0.3-0.55)
0.612,5,LONG,31.834,ELEVATED,False,True,False,False,Buona (0.55-0.7)
0.226,3,SHORT,30.273,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.203,3,NEUTRAL,25.591,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.702,6,NEUTRAL,14.601,LOW,False,True,False,False,Alta (0.7-1.0)
0.524,4,SHORT,24.727,NORMAL,True,False,False,False,Media (0.3-0.55)
0.609,1,NEUTRAL,20.022,NORMAL,True,True,True,False,Buona (0.55-0.7)
0.788,5,NEUTRAL,20.330,NORMAL,False,False,False,True,Alta (0.7-1.0)
0.671,4,SHORT,27.803,ELEVATED,False,True,False,False,Buona (0.55-0.7)
0.598,4,LONG,10.561,LOW,False,False,False,True,Buona (0.55-0.7)
0.603,5,LONG,22.063,NORMAL,False,False,False,True,Buona (0.55-0.7)
0.374,6,LONG,11.165,LOW,True,False,False,False,Media (0.3-0.55)
0.128,2,LONG,48.413,CRISIS,True,False,False,False,Bassa (0-0.3)
0.493,3,LONG,11.104,LOW,True,False,False,False,Media (0.3-0.55)
0.293,2,LONG,48.120,CRISIS,True,True,True,False,Bassa (0-0.3)
0.468,4,SHORT,48.050,CRISIS,True,False,False,False,Media (0.3-0.55)
0.868,3,SHORT,11.423,LOW,False,True,False,False,Alta (0.7-1.0)
0.311,3,NEUTRAL,23.348,NORMAL,True,True,True,False,Media (0.3-0.55)
0.152,5,LONG,22.918,NORMAL,True,False,False,False,Bassa (0-0.3)
0.353,3,LONG,52.538,CRISIS,True,True,True,False,Media (0.3-0.55)
0.364,3,SHORT,46.997,CRISIS,True,True,True,False,Media (0.3-0.55)
0.696,3,NEUTRAL,24.253,NORMAL,False,False,False,True,Buona (0.55-0.7)
0.601,2,NEUTRAL,18.276,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.806,1,NEUTRAL,44.190,CRISIS,True,False,False,False,Alta (0.7-1.0)
0.698,5,NEUTRAL,11.185,LOW,False,True,False,False,Buona (0.55-0.7)
0.466,1,LONG,13.864,LOW,True,False,False,False,Media (0.3-0.55)
0.833,2,LONG,10.534,LOW,False,False,False,True,Alta (0.7-1.0)
0.250,5,LONG,20.812,NORMAL,True,False,False,False,Bassa (0-0.3)
0.120,1,SHORT,30.390,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.181,4,NEUTRAL,16.031,LOW,True,False,False,False,Bassa (0-0.3)
0.750,5,LONG,15.574,LOW,False,False,False,True,Alta (0.7-1.0)
0.516,4,SHORT,13.423,LOW,True,True,True,False,Media (0.3-0.55)
0.245,2,LONG,19.883,NORMAL,True,False,False,False,Bassa (0-0.3)
0.551,1,LONG,19.985,NORMAL,True,False,False,False,Buona (0.55-0.7)
0.237,6,LONG,22.046,NORMAL,True,False,False,False,Bassa (0-0.3)
0.727,2,LONG,28.514,ELEVATED,False,False,False,True,Alta (0.7-1.0)
0.502,5,NEUTRAL,19.949,NORMAL,True,True,True,False,Media (0.3-0.55)
0.443,2,LONG,20.760,NORMAL,True,False,False,False,Media (0.3-0.55)
0.371,1,NEUTRAL,23.096,NORMAL,True,True,True,False,Media (0.3-0.55)
0.667,5,SHORT,22.266,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.426,6,LONG,13.380,LOW,True,False,False,False,Media (0.3-0.55)
0.179,6,LONG,24.181,NORMAL,True,False,False,False,Bassa (0-0.3)
0.206,5,NEUTRAL,57.917,CRISIS,True,False,False,False,Bassa (0-0.3)
0.966,2,LONG,21.549,NORMAL,False,False,False,True,Alta (0.7-1.0)
0.918,6,NEUTRAL,17.260,LOW,False,True,False,False,Alta (0.7-1.0)
0.730,5,LONG,14.578,LOW,False,True,False,False,Alta (0.7-1.0)
0.339,2,SHORT,13.312,LOW,True,True,True,False,Media (0.3-0.55)
0.972,1,NEUTRAL,30.370,ELEVATED,True,True,True,False,Alta (0.7-1.0)
0.801,6,LONG,27.204,ELEVATED,False,True,False,False,Alta (0.7-1.0)
0.745,2,LONG,14.905,LOW,False,False,False,True,Alta (0.7-1.0)
0.504,5,NEUTRAL,35.009,CRISIS,True,True,True,False,Media (0.3-0.55)
0.345,1,LONG,22.422,NORMAL,True,True,True,False,Media (0.3-0.55)
0.187,2,LONG,18.807,NORMAL,True,True,True,False,Bassa (0-0.3)
0.912,2,LONG,59.801,CRISIS,False,True,False,False,Alta (0.7-1.0)
0.510,2,LONG,13.781,LOW,True,True,True,False,Media (0.3-0.55)
0.282,5,SHORT,21.704,NORMAL,True,False,False,False,Bassa (0-0.3)
0.375,6,SHORT,12.449,LOW,True,True,True,False,Media (0.3-0.55)
0.621,6,LONG,22.737,NORMAL,False,False,False,True,Buona (0.55-0.7)
0.259,5,NEUTRAL,14.771,LOW,True,False,False,False,Bassa (0-0.3)
0.871,2,LONG,15.367,LOW,False,True,False,False,Alta (0.7-1.0)
0.783,6,LONG,19.309,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.748,4,SHORT,15.699,LOW,False,True,False,False,Alta (0.7-1.0)
0.489,4,NEUTRAL,17.863,LOW,True,True,True,False,Media (0.3-0.55)
0.665,5,LONG,19.265,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.626,5,LONG,10.493,LOW,False,False,False,True,Buona (0.55-0.7)
0.685,6,SHORT,30.763,ELEVATED,False,True,False,False,Buona (0.55-0.7)
0.176,4,NEUTRAL,20.741,NORMAL,True,False,False,False,Bassa (0-0.3)
0.474,4,LONG,12.909,LOW,True,True,True,False,Media (0.3-0.55)
0.137,5,LONG,22.693,NORMAL,True,False,False,False,Bassa (0-0.3)
0.545,2,SHORT,27.170,ELEVATED,True,False,False,False,Media (0.3-0.55)
0.397,2,LONG,49.462,CRISIS,True,False,False,False,Media (0.3-0.55)
0.230,4,LONG,20.226,NORMAL,True,False,False,False,Bassa (0-0.3)
0.193,1,LONG,10.917,LOW,True,False,False,False,Bassa (0-0.3)
0.629,2,LONG,13.101,LOW,False,False,False,True,Buona (0.55-0.7)
0.254,5,LONG,11.940,LOW,True,True,True,False,Bassa (0-0.3)
0.933,6,NEUTRAL,20.311,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.623,4,SHORT,13.312,LOW,False,False,False,True,Buona (0.55-0.7)
0.412,3,SHORT,19.860,NORMAL,True,False,False,False,Media (0.3-0.55)
0.632,3,NEUTRAL,12.323,LOW,False,True,False,False,Buona (0.55-0.7)
0.121,5,LONG,22.801,NORMAL,True,False,False,False,Bassa (0-0.3)
0.963,4,LONG,14.757,LOW,False,True,False,False,Alta (0.7-1.0)
0.534,1,NEUTRAL,16.211,LOW,True,False,False,False,Media (0.3-0.55)
0.804,4,LONG,18.061,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.174,3,SHORT,12.475,LOW,True,False,False,False,Bassa (0-0.3)
0.538,5,SHORT,23.124,NORMAL,True,False,False,False,Media (0.3-0.55)
0.542,6,LONG,13.018,LOW,True,True,True,False,Media (0.3-0.55)
0.944,6,LONG,42.011,CRISIS,False,True,False,False,Alta (0.7-1.0)
0.615,4,LONG,23.422,NORMAL,False,False,False,True,Buona (0.55-0.7)
0.526,3,LONG,20.697,NORMAL,True,True,True,False,Media (0.3-0.55)
0.340,3,LONG,23.065,NORMAL,True,True,True,False,Media (0.3-0.55)
0.398,2,LONG,24.881,NORMAL,True,False,False,False,Media (0.3-0.55)
0.569,6,SHORT,16.825,LOW,False,True,False,False,Buona (0.55-0.7)
0.495,6,NEUTRAL,17.609,LOW,True,True,True,False,Media (0.3-0.55)
0.119,6,NEUTRAL,29.746,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.844,2,LONG,13.555,LOW,False,False,False,True,Alta (0.7-1.0)
0.907,2,LONG,10.226,LOW,False,True,False,False,Alta (0.7-1.0)
0.226,6,LONG,20.021,NORMAL,True,True,True,False,Bassa (0-0.3)
0.599,4,LONG,20.195,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.198,5,NEUTRAL,21.424,NORMAL,True,True,True,False,Bassa (0-0.3)
0.705,3,LONG,22.852,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.353,3,LONG,23.794,NORMAL,True,True,True,False,Media (0.3-0.55)
0.693,4,NEUTRAL,32.387,ELEVATED,False,True,False,False,Buona (0.55-0.7)
0.754,5,LONG,18.870,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.792,3,LONG,35.331,CRISIS,False,False,False,True,Alta (0.7-1.0)
0.197,5,LONG,11.772,LOW,True,True,True,False,Bassa (0-0.3)
0.924,2,SHORT,34.755,ELEVATED,False,True,False,False,Alta (0.7-1.0)
0.307,3,SHORT,14.047,LOW,True,False,False,False,Media (0.3-0.55)
0.134,6,LONG,26.888,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.599,6,NEUTRAL,44.352,CRISIS,True,False,False,False,Buona (0.55-0.7)
0.434,6,NEUTRAL,23.965,NORMAL,True,True,True,False,Media (0.3-0.55)
0.847,2,NEUTRAL,19.583,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.827,6,LONG,19.442,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.385,6,LONG,11.508,LOW,True,True,True,False,Media (0.3-0.55)
0.958,6,NEUTRAL,12.023,LOW,False,True,False,False,Alta (0.7-1.0)
0.362,1,LONG,18.316,NORMAL,True,False,False,False,Media (0.3-0.55)
0.564,5,SHORT,26.179,ELEVATED,False,True,False,False,Buona (0.55-0.7)
0.330,6,SHORT,23.270,NORMAL,True,False,False,False,Media (0.3-0.55)
0.942,5,LONG,24.681,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.248,2,SHORT,20.279,NORMAL,True,False,False,False,Bassa (0-0.3)
0.140,5,NEUTRAL,25.070,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.492,1,SHORT,19.738,NORMAL,True,False,False,False,Media (0.3-0.55)
0.993,3,LONG,24.688,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.903,4,NEUTRAL,20.995,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.774,3,SHORT,23.485,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.902,5,SHORT,12.477,LOW,False,True,False,False,Alta (0.7-1.0)
0.904,2,NEUTRAL,43.178,CRISIS,False,True,False,False,Alta (0.7-1.0)
0.567,4,SHORT,21.806,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.384,4,LONG,20.721,NORMAL,True,False,False,False,Media (0.3-0.55)
0.795,4,LONG,26.393,ELEVATED,False,True,False,False,Alta (0.7-1.0)
0.695,2,LONG,15.407,LOW,False,True,False,False,Buona (0.55-0.7)
0.436,2,SHORT,10.887,LOW,True,True,True,False,Media (0.3-0.55)
0.185,2,SHORT,11.752,LOW,True,False,False,False,Bassa (0-0.3)
0.772,3,SHORT,17.258,LOW,False,False,False,True,Alta (0.7-1.0)
0.336,4,LONG,21.851,NORMAL,True,False,False,False,Media (0.3-0.55)
0.943,3,SHORT,10.832,LOW,False,True,False,False,Alta (0.7-1.0)
0.317,3,NEUTRAL,24.856,NORMAL,True,True,True,False,Media (0.3-0.55)
0.210,2,LONG,30.864,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.848,2,SHORT,16.422,LOW,False,True,False,False,Alta (0.7-1.0)
0.238,4,SHORT,20.467,NORMAL,True,False,False,False,Bassa (0-0.3)
0.261,5,SHORT,23.604,NORMAL,True,False,False,False,Bassa (0-0.3)
0.639,2,LONG,28.908,ELEVATED,False,True,False,False,Buona (0.55-0.7)
0.887,6,SHORT,32.320,ELEVATED,False,True,False,False,Alta (0.7-1.0)
0.277,4,NEUTRAL,34.009,ELEVATED,True,True,True,False,Bassa (0-0.3)
0.379,2,SHORT,15.279,LOW,True,True,True,False,Media (0.3-0.55)
0.800,3,NEUTRAL,33.089,ELEVATED,False,True,False,False,Alta (0.7-1.0)
0.975,1,NEUTRAL,19.622,NORMAL,True,False,False,False,Alta (0.7-1.0)
0.551,1,LONG,18.713,NORMAL,True,True,True,False,Buona (0.55-0.7)
0.230,3,SHORT,13.068,LOW,True,False,False,False,Bassa (0-0.3)
0.113,3,LONG,16.818,LOW,True,False,False,False,Bassa (0-0.3)
0.307,5,NEUTRAL,12.549,LOW,True,True,True,False,Media (0.3-0.55)
0.219,1,LONG,19.663,NORMAL,True,True,True,False,Bassa (0-0.3)
0.710,6,LONG,14.846,LOW,False,True,False,False,Alta (0.7-1.0)
0.210,2,NEUTRAL,13.443,LOW,True,False,False,False,Bassa (0-0.3)
0.556,1,LONG,13.896,LOW,True,True,True,False,Buona (0.55-0.7)
0.725,5,SHORT,19.270,NORMAL,False,False,False,True,Alta (0.7-1.0)
0.623,5,LONG,13.280,LOW,False,False,False,True,Buona (0.55-0.7)
0.280,4,NEUTRAL,33.138,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.824,1,NEUTRAL,25.563,ELEVATED,True,False,False,False,Alta (0.7-1.0)
0.744,1,LONG,18.802,NORMAL,True,False,False,False,Alta (0.7-1.0)
0.765,3,SHORT,33.931,ELEVATED,False,False,False,True,Alta (0.7-1.0)
0.218,3,LONG,13.463,LOW,True,False,False,False,Bassa (0-0.3)
0.211,6,SHORT,11.935,LOW,True,False,False,False,Bassa (0-0.3)
0.935,2,SHORT,18.073,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.458,2,NEUTRAL,16.344,LOW,True,False,False,False,Media (0.3-0.55)
0.371,6,LONG,12.028,LOW,True,False,False,False,Media (0.3-0.55)
0.540,1,LONG,12.874,LOW,True,False,False,False,Media (0.3-0.55)
0.697,1,SHORT,28.862,ELEVATED,True,True,True,False,Buona (0.55-0.7)
0.960,3,SHORT,34.744,ELEVATED,False,True,False,False,Alta (0.7-1.0)
0.358,3,LONG,14.993,LOW,True,False,False,False,Media (0.3-0.55)
0.932,4,LONG,15.140,LOW,False,True,False,False,Alta (0.7-1.0)
0.122,6,LONG,31.802,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.600,6,NEUTRAL,32.556,ELEVATED,False,False,False,True,Buona (0.55-0.7)
0.671,2,LONG,22.655,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.195,6,LONG,23.412,NORMAL,True,False,False,False,Bassa (0-0.3)
0.226,4,NEUTRAL,22.730,NORMAL,True,False,False,False,Bassa (0-0.3)
0.477,1,LONG,17.442,LOW,True,False,False,False,Media (0.3-0.55)
0.970,6,SHORT,55.970,CRISIS,False,False,False,True,Alta (0.7-1.0)
0.636,1,LONG,19.202,NORMAL,True,True,True,False,Buona (0.55-0.7)
0.940,4,NEUTRAL,20.806,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.824,5,SHORT,23.476,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.521,2,NEUTRAL,24.202,NORMAL,True,False,False,False,Media (0.3-0.55)
0.806,2,LONG,11.714,LOW,False,True,False,False,Alta (0.7-1.0)
0.116,3,SHORT,34.934,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.198,6,SHORT,14.442,LOW,True,False,False,False,Bassa (0-0.3)
0.846,2,LONG,16.104,LOW,False,True,False,False,Alta (0.7-1.0)
0.817,4,LONG,12.351,LOW,False,True,False,False,Alta (0.7-1.0)
0.309,3,LONG,34.332,ELEVATED,True,True,True,False,Media (0.3-0.55)
0.578,1,NEUTRAL,26.549,ELEVATED,True,False,False,False,Buona (0.55-0.7)
0.645,5,SHORT,14.608,LOW,False,True,False,False,Buona (0.55-0.7)
0.881,5,SHORT,22.237,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.643,4,SHORT,20.531,NORMAL,False,False,False,True,Buona (0.55-0.7)
0.471,2,SHORT,55.259,CRISIS,True,True,True,False,Media (0.3-0.55)
0.437,1,LONG,54.661,CRISIS,True,False,False,False,Media (0.3-0.55)
0.483,3,LONG,24.272,NORMAL,True,True,True,False,Media (0.3-0.55)
0.687,4,SHORT,23.158,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.881,4,LONG,24.472,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.509,2,NEUTRAL,32.776,ELEVATED,True,False,False,False,Media (0.3-0.55)
0.323,4,NEUTRAL,24.197,NORMAL,True,False,False,False,Media (0.3-0.55)
0.313,2,LONG,53.795,CRISIS,True,False,False,False,Media (0.3-0.55)
0.771,5,SHORT,17.293,LOW,False,True,False,False,Alta (0.7-1.0)
0.835,5,LONG,27.515,ELEVATED,False,True,False,False,Alta (0.7-1.0)
0.195,4,NEUTRAL,12.532,LOW,True,False,False,False,Bassa (0-0.3)
0.160,1,NEUTRAL,21.068,NORMAL,True,False,False,False,Bassa (0-0.3)
0.635,6,NEUTRAL,11.543,LOW,False,False,False,True,Buona (0.55-0.7)
0.232,1,LONG,24.878,NORMAL,True,True,True,False,Bassa (0-0.3)
0.842,6,LONG,21.789,NORMAL,False,False,False,True,Alta (0.7-1.0)
0.379,1,LONG,29.640,ELEVATED,True,True,True,False,Media (0.3-0.55)
0.229,4,LONG,17.421,LOW,True,True,True,False,Bassa (0-0.3)
0.929,1,LONG,24.516,NORMAL,True,True,True,False,Alta (0.7-1.0)
0.249,1,LONG,20.085,NORMAL,True,True,True,False,Bassa (0-0.3)
0.356,5,NEUTRAL,12.035,LOW,True,False,False,False,Media (0.3-0.55)
0.238,5,LONG,13.402,LOW,True,False,False,False,Bassa (0-0.3)
0.204,1,LONG,27.289,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.119,6,NEUTRAL,16.496,LOW,True,False,False,False,Bassa (0-0.3)
0.150,2,SHORT,12.931,LOW,True,False,False,False,Bassa (0-0.3)
0.257,2,SHORT,13.001,LOW,True,False,False,False,Bassa (0-0.3)
0.148,2,SHORT,12.372,LOW,True,False,False,False,Bassa (0-0.3)
0.632,3,NEUTRAL,16.145,LOW,False,False,False,True,Buona (0.55-0.7)
0.713,2,SHORT,25.658,ELEVATED,False,False,False,True,Alta (0.7-1.0)
0.454,3,SHORT,51.361,CRISIS,True,False,False,False,Media (0.3-0.55)
0.386,2,SHORT,44.688,CRISIS,True,False,False,False,Media (0.3-0.55)
0.554,1,LONG,42.855,CRISIS,True,False,False,False,Buona (0.55-0.7)
0.888,3,LONG,21.120,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.866,5,LONG,10.784,LOW,False,True,False,False,Alta (0.7-1.0)
0.139,5,LONG,21.782,NORMAL,True,False,False,False,Bassa (0-0.3)
0.263,3,SHORT,29.155,ELEVATED,True,True,True,False,Bassa (0-0.3)
0.313,2,LONG,23.369,NORMAL,True,False,False,False,Media (0.3-0.55)
0.324,5,LONG,28.142,ELEVATED,True,False,False,False,Media (0.3-0.55)
0.614,5,LONG,21.875,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.475,5,NEUTRAL,20.157,NORMAL,True,False,False,False,Media (0.3-0.55)
0.144,6,LONG,28.570,ELEVATED,True,False,False,False,Bassa (0-0.3)
0.436,5,SHORT,14.024,LOW,True,False,False,False,Media (0.3-0.55)
0.571,6,NEUTRAL,12.899,LOW,False,True,False,False,Buona (0.55-0.7)
0.192,3,LONG,20.642,NORMAL,True,False,False,False,Bassa (0-0.3)
0.850,3,SHORT,49.910,CRISIS,False,True,False,False,Alta (0.7-1.0)
0.147,2,LONG,18.173,NORMAL,True,False,False,False,Bassa (0-0.3)
0.932,2,LONG,45.016,CRISIS,False,True,False,False,Alta (0.7-1.0)
0.189,5,SHORT,19.914,NORMAL,True,True,True,False,Bassa (0-0.3)
0.859,5,NEUTRAL,14.969,LOW,False,True,False,False,Alta (0.7-1.0)
0.912,5,LONG,19.345,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.982,2,SHORT,17.477,LOW,False,True,False,False,Alta (0.7-1.0)
0.822,3,LONG,22.930,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.802,2,SHORT,12.842,LOW,False,False,False,True,Alta (0.7-1.0)
0.678,6,SHORT,18.183,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.801,2,SHORT,12.660,LOW,False,True,False,False,Alta (0.7-1.0)
0.221,1,SHORT,21.581,NORMAL,True,True,True,False,Bassa (0-0.3)
0.582,4,LONG,18.540,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.563,6,SHORT,18.862,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.872,6,SHORT,21.579,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.517,1,SHORT,57.524,CRISIS,True,True,True,False,Media (0.3-0.55)
0.447,2,LONG,25.677,ELEVATED,True,True,True,False,Media (0.3-0.55)
0.676,1,LONG,29.652,ELEVATED,True,False,False,False,Buona (0.55-0.7)
0.340,2,LONG,44.964,CRISIS,True,False,False,False,Media (0.3-0.55)
0.226,4,LONG,22.598,NORMAL,True,False,False,False,Bassa (0-0.3)
0.530,2,LONG,18.049,NORMAL,True,False,False,False,Media (0.3-0.55)
0.475,1,LONG,13.845,LOW,True,False,False,False,Media (0.3-0.55)
0.309,4,SHORT,22.416,NORMAL,True,True,True,False,Media (0.3-0.55)
0.431,1,LONG,21.674,NORMAL,True,False,False,False,Media (0.3-0.55)
0.430,2,NEUTRAL,19.846,NORMAL,True,True,True,False,Media (0.3-0.55)
0.395,1,SHORT,17.758,LOW,True,False,False,False,Media (0.3-0.55)
0.442,1,SHORT,24.415,NORMAL,True,True,True,False,Media (0.3-0.55)
0.717,3,LONG,23.079,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.367,6,LONG,25.818,ELEVATED,True,True,True,False,Media (0.3-0.55)
0.954,5,SHORT,52.959,CRISIS,False,True,False,False,Alta (0.7-1.0)
0.925,1,NEUTRAL,17.071,LOW,True,False,False,False,Alta (0.7-1.0)
0.533,1,LONG,12.090,LOW,True,False,False,False,Media (0.3-0.55)
0.396,3,SHORT,25.916,ELEVATED,True,False,False,False,Media (0.3-0.55)
0.582,4,SHORT,53.628,CRISIS,True,True,True,False,Buona (0.55-0.7)
0.864,5,SHORT,22.523,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.687,5,LONG,15.883,LOW,False,False,False,True,Buona (0.55-0.7)
0.824,3,SHORT,25.726,ELEVATED,False,True,False,False,Alta (0.7-1.0)
0.579,2,LONG,31.079,ELEVATED,False,True,False,False,Buona (0.55-0.7)
0.670,1,NEUTRAL,29.003,ELEVATED,True,True,True,False,Buona (0.55-0.7)
0.359,1,LONG,25.436,ELEVATED,True,False,False,False,Media (0.3-0.55)
0.761,1,LONG,22.392,NORMAL,True,True,True,False,Alta (0.7-1.0)
0.282,6,NEUTRAL,18.156,NORMAL,True,False,False,False,Bassa (0-0.3)
0.725,2,LONG,20.651,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.875,5,LONG,24.111,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.219,4,LONG,15.987,LOW,True,False,False,False,Bassa (0-0.3)
0.653,4,LONG,19.355,NORMAL,False,True,False,False,Buona (0.55-0.7)
0.186,3,LONG,17.953,LOW,True,False,False,False,Bassa (0-0.3)
